2025-01-14 10:42:40,567 - INFO - Starting asteroids!
Screen width: 1920
Screen height: 1080
2025-01-14 10:42:43,544 - DEBUG - Total Time: 0.0159s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,561 - DEBUG - Total Time: 0.0172s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,579 - DEBUG - Total Time: 0.0170s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,594 - DEBUG - Total Time: 0.0153s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,609 - DEBUG - Total Time: 0.0147s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,625 - DEBUG - Total Time: 0.0145s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,642 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,659 - DEBUG - Total Time: 0.0169s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,676 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,692 - DEBUG - Total Time: 0.0154s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,706 - DEBUG - Asteroid spawned at (1980.0,25.14188592659364) with radius 40
2025-01-14 10:42:43,708 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0021s
2025-01-14 10:42:43,723 - DEBUG - Asteroid at (1979.281863557007,25.492144472878113) is out of field
2025-01-14 10:42:43,723 - DEBUG - Killing asteroid...
2025-01-14 10:42:43,723 - DEBUG - Killed asteroid at (1979.281863557007,25.492144472878113)
2025-01-14 10:42:43,725 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,741 - DEBUG - Total Time: 0.0163s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0025s
2025-01-14 10:42:43,757 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,773 - DEBUG - Total Time: 0.0156s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,790 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:43,807 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0030s
2025-01-14 10:42:43,823 - DEBUG - Total Time: 0.0157s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,841 - DEBUG - Total Time: 0.0178s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0024s
2025-01-14 10:42:43,855 - DEBUG - Total Time: 0.0145s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,871 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,887 - DEBUG - Total Time: 0.0158s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,904 - DEBUG - Total Time: 0.0168s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,920 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:43,938 - DEBUG - Total Time: 0.0169s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,955 - DEBUG - Total Time: 0.0170s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,972 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,988 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:44,004 - DEBUG - Total Time: 0.0162s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:44,021 - DEBUG - Total Time: 0.0158s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
